nm, Ga, In
103.485, 23.2102, 76.7898
104.008, 13.0344, 86.9656
104.53, 5.33519, 94.6648
105.053, 25.0713, 74.9287
105.576, 26.772, 73.228
106.098, 35.1081, 64.8919
106.621, 26.8668, 73.1332
107.144, 28.2409, 71.7591
107.666, 45.8571, 54.1429
108.189, 36.0321, 63.9679
108.712, 54.6921, 45.3079
109.234, 47.9313, 52.0687
109.757, 54.6317, 45.3683
110.279, 52.9007, 47.0993
110.802, 55.3128, 44.6872
111.325, 65.0853, 34.9147
111.847, 56.1267, 43.8733
112.37, 55.4371, 44.5629
112.893, 57.7287, 42.2713
113.415, 50.4361, 49.5639
113.938, 52.5676, 47.4324
114.461, 55.007, 44.993
114.983, 50.8653, 49.1347
115.506, 48.7633, 51.2367
116.029, 60.6338, 39.3662
116.551, 61.261, 38.739
117.074, 61.5599, 38.4401
117.597, 62.6699, 37.3301
118.119, 51.6729, 48.3271
118.642, 50.1482, 49.8518
119.165, 62.5037, 37.4963
119.687, 53.2982, 46.7018
120.21, 43.8216, 56.1784
120.732, 46.6533, 53.3467
121.255, 57.3634, 42.6366
121.778, 39.5109, 60.4891
122.3, 23.0505, 76.9495
122.823, 29.2163, 70.7837
123.346, 34.9302, 65.0698
123.868, 20.3062, 79.6938
124.391, 20.1229, 79.8771
124.914, 31.522, 68.478
125.436, 33.4469, 66.5531
125.959, 30.6189, 69.3811
126.482, 18.167, 81.833
127.004, 17.0709, 82.9291
127.527, 21.8971, 78.1029
128.05, 17.6965, 82.3035
128.572, 16.4812, 83.5188
129.095, 26.7662, 73.2337
129.618, 30.4229, 69.5771
130.14, 17.4514, 82.5486
130.663, 30.0347, 69.9653
131.186, 20.1196, 79.8804
131.708, 29.5624, 70.4376
132.231, 26.8619, 73.1381
132.753, 25.5648, 74.4352
133.276, 19.6193, 80.3807
133.799, 11.8523, 88.1477
134.321, 33.1121, 66.8879
134.844, 30.7439, 69.2561
135.367, 21.9873, 78.0127
135.889, 19.7462, 80.2538
136.412, 3.01493, 96.9851
136.935, 6.18966, 93.8103
137.457, 8.90394, 91.0961
137.98, 17.9889, 82.0111
138.503, 17.1863, 82.8137
139.025, 9.20383, 90.7962
139.548, 0, 100
140.071, 5.47547, 94.5245
140.593, 9.04122, 90.9588
141.116, 7.73155, 92.2684
141.639, 22.0431, 77.9569
142.161, 10.8881, 89.1119
142.684, 0, 100
143.206, 7.64215, 92.3578
143.729, 0.962546, 99.0375
144.252, 10.0929, 89.9071
144.774, 5.9439, 94.0561
145.297, 8.15781, 91.8422
145.82, 9.78822, 90.2118
146.342, 21.0306, 78.9694
146.865, 13.2021, 86.7979
147.388, 0, 100
147.91, 0, 100
148.433, 0, 100
148.956, 4.10252, 95.8975
149.478, 13.9706, 86.0294
150.001, 14.6755, 85.3245
150.524, 0, 100
151.046, 16.4759, 83.5241
151.569, 26.325, 73.675
152.092, 6.91778, 93.0822
152.614, 17.4242, 82.5758
153.137, 15.3057, 84.6943
153.66, 5.50147, 94.4985
154.182, 27.0269, 72.9731
154.705, 26.6626, 73.3374
155.227, 6.97554, 93.0245
155.75, 14.4195, 85.5805
156.273, 10.2283, 89.7717
156.795, 10.1203, 89.8797
157.318, 27.0182, 72.9818
157.841, 2.13432, 97.8657
