nm, P, As
95.9936, 85.5812, 14.4188
96.4989, 82.0618, 17.9382
97.0041, 70.4108, 29.5892
97.5093, 85.9006, 14.0994
98.0146, 82.2366, 17.7634
98.5198, 90.7424, 9.25762
99.025, 84.7405, 15.2595
99.5303, 86.4349, 13.5651
100.035, 83.701, 16.299
100.541, 76.1842, 23.8158
101.046, 77.5522, 22.4478
101.551, 84.0343, 15.9657
102.056, 88.4611, 11.5389
102.562, 72.395, 27.605
103.067, 90.0396, 9.96043
103.572, 82.2638, 17.7362
104.077, 72.0583, 27.9417
104.583, 77.8536, 22.1464
105.088, 82.1298, 17.8702
105.593, 80.7996, 19.2004
106.098, 92.6964, 7.30357
106.603, 85.8786, 14.1214
107.109, 75.6853, 24.3147
107.614, 91.6637, 8.33632
108.119, 88.3004, 11.6996
108.624, 82.3489, 17.6511
109.13, 89.3155, 10.6845
109.635, 83.6196, 16.3804
110.14, 86.1271, 13.8729
110.645, 95.335, 4.66504
111.151, 70.7189, 29.2811
111.656, 80.047, 19.953
112.161, 83.7594, 16.2406
112.666, 86.7556, 13.2444
113.171, 83.8646, 16.1354
113.677, 84.4492, 15.5508
114.182, 80.3017, 19.6983
114.687, 86.3998, 13.6002
115.192, 82.772, 17.228
115.698, 85.8027, 14.1973
116.203, 90.6454, 9.35465
116.708, 80.0972, 19.9028
117.213, 86.0696, 13.9304
117.719, 84.4219, 15.5781
118.224, 95.4685, 4.53146
118.729, 82.2726, 17.7274
119.234, 80.0197, 19.9803
119.739, 87.7496, 12.2504
120.245, 89.1299, 10.8701
120.75, 88.0088, 11.9912
121.255, 82.2256, 17.7744
121.76, 81.9844, 18.0156
122.266, 82.0798, 17.9202
122.771, 86.5261, 13.4739
123.276, 82.544, 17.456
123.781, 87.7704, 12.2296
124.287, 92.1856, 7.81444
124.792, 88.2865, 11.7135
125.297, 82.4278, 17.5722
125.802, 94.7852, 5.2148
126.307, 79.2708, 20.7292
126.813, 82.3981, 17.6019
127.318, 86.4964, 13.5036
127.823, 88.0364, 11.9636
128.328, 78.1098, 21.8902
128.834, 84.4905, 15.5095
129.339, 87.8495, 12.1505
129.844, 88.5132, 11.4868
130.349, 90.3407, 9.65933
130.854, 89.1115, 10.8885
131.36, 85.1939, 14.8061
131.865, 90.8372, 9.16284
132.37, 79.123, 20.877
132.875, 79.6187, 20.3813
133.381, 82.5501, 17.4499
133.886, 82.2262, 17.7738
134.391, 83.1474, 16.8526
134.896, 89.4235, 10.5765
135.402, 81.1359, 18.8641
135.907, 87.0994, 12.9006
136.412, 72.3137, 27.6863
136.917, 79.3637, 20.6363
137.422, 81.9142, 18.0858
137.928, 69.5512, 30.4488
138.433, 90.6132, 9.38676
138.938, 78.1724, 21.8276
139.443, 71.3221, 28.6779
139.949, 75.0014, 24.9986
140.454, 75.5832, 24.4168
140.959, 70.2407, 29.7593
141.464, 73.4096, 26.5904
141.97, 75.7613, 24.2387
142.475, 68.3167, 31.6833
142.98, 46.0864, 53.9136
143.485, 35.3337, 64.6663
143.99, 22.3756, 77.6244
144.496, 27.7861, 72.2139
145.001, 17.0307, 82.9693
145.506, 18.5179, 81.4821
146.011, 19.9575, 80.0425
146.517, 26.9017, 73.0983
147.022, 12.988, 87.012
147.527, 9.62239, 90.3776
148.032, 27.8301, 72.1699
148.538, 17.228, 82.772
149.043, 24.2132, 75.7868
149.548, 20.7668, 79.2332
150.053, 35.9562, 64.0438
150.558, 31.3112, 68.6888
151.064, 56.066, 43.934
151.569, 55.6206, 44.3794
152.074, 59.837, 40.163
152.579, 55.1558, 44.8442
153.085, 50.4462, 49.5538
153.59, 39.8241, 60.1759
154.095, 67.2519, 32.7481
154.6, 71.0818, 28.9182
155.106, 63.5559, 36.4441
155.611, 64.505, 35.495
156.116, 70.486, 29.514
156.621, 77.2747, 22.7253
157.126, 84.7699, 15.2301
157.632, 70.4611, 29.5389
158.137, 71.7378, 28.2622
158.642, 52.4055, 47.5945
159.147, 70.1364, 29.8636
159.653, 77.286, 22.714
160.158, 70.3673, 29.6327
160.663, 69.1632, 30.8368
161.168, 67.5461, 32.4539
161.674, 71.5855, 28.4145
162.179, 66.7822, 33.2178
162.684, 73.3854, 26.6146
163.189, 77.0666, 22.9334
163.694, 78.9957, 21.0043
164.2, 72.0383, 27.9617
164.705, 73.4446, 26.5554
165.21, 74.235, 25.765
165.715, 87.8418, 12.1582
166.221, 81.3109, 18.6891
166.726, 79.5968, 20.4032
167.231, 68.3823, 31.6177
167.736, 84.7295, 15.2705
168.242, 80.537, 19.463
168.747, 75.8412, 24.1588
169.252, 81.505, 18.495
169.757, 80.92, 19.08
170.262, 83.153, 16.847
170.768, 76.6193, 23.3807
171.273, 82.8807, 17.1193
171.778, 90.3308, 9.66918
172.283, 88.4179, 11.5821
172.789, 74.1994, 25.8006
173.294, 87.2872, 12.7128
173.799, 81.5345, 18.4655
174.304, 83.607, 16.393
174.809, 75.8005, 24.1995
175.315, 79.5884, 20.4116
175.82, 74.1346, 25.8654
176.325, 86.9515, 13.0485
176.83, 91.5581, 8.44188
177.336, 85.8731, 14.1269
177.841, 71.2565, 28.7435
178.346, 78.2098, 21.7902
178.851, 80.0496, 19.9504
179.357, 78.7935, 21.2065
179.862, 79.0018, 20.9982
180.367, 87.7103, 12.2897
180.872, 82.2694, 17.7306
181.377, 85.9697, 14.0303
181.883, 86.0847, 13.9153
182.388, 77.5095, 22.4905
182.893, 75.2119, 24.7881
183.398, 76.0944, 23.9056
183.904, 82.3521, 17.6479
184.409, 82.1726, 17.8274
184.914, 88.2051, 11.7949
185.419, 92.6302, 7.36979
185.925, 90.5721, 9.42786
186.43, 80.2309, 19.7691
186.935, 80.2947, 19.7053
187.44, 95.9376, 4.06239
187.945, 97.5435, 2.4565
188.451, 83.6228, 16.3772
