Wavelength,Intensity
1323.223497,33
1323.548613,51
1323.873726,39
1324.198837,29
1324.523944,31
1324.849049,45
1325.17415,45
1325.499249,60
1325.824345,32
1326.149438,43
1326.474529,37
1326.799616,46
1327.124701,45
1327.449782,46
1327.774861,57
1328.099937,33
1328.42501,49
1328.750081,46
1329.075148,36
1329.400213,53
1329.725274,41
1330.050333,47
1330.375389,47
1330.700442,47
1331.025492,58
1331.350539,39
1331.675583,45
1332.000625,29
1332.325663,39
1332.650699,44
1332.975731,42
1333.300761,54
1333.625788,31
1333.950812,53
1334.275833,49
1334.600851,65
1334.925866,44
1335.250878,40
1335.575888,65
1335.900894,55
1336.225897,60
1336.550898,44
1336.875896,52
1372.0089,45
1337.525882,72
1337.850871,54
1338.175856,48
1338.500839,58
1338.825819,52
1339.150796,53
1339.47577,60
1339.800741,43
1340.125709,62
1340.450674,61
1340.775637,67
1341.100596,51
1341.425552,51
1341.750505,64
1342.075455,66
1342.400403,54
1342.725347,64
1343.050288,56
1343.375227,56
1343.700162,63
1344.025094,65
1344.350024,60
1344.67495,63
1344.999873,54
1345.324794,57
1345.649711,56
1345.974625,76
1346.299537,61
1346.624445,51
1346.94935,57
1347.274253,50
1347.599152,57
1347.924048,74
1348.248941,72
1348.573832,66
1348.898719,66
1349.223603,61
1349.548484,65
1349.873362,51
1350.198237,72
1350.523109,65
1350.847978,68
1351.172844,66
1351.497707,77
1351.822567,77
1352.147423,68
1352.472277,74
1352.797128,60
1353.121975,79
1353.44682,53
1353.771661,52
1354.096499,64
1354.421335,56
1354.746167,52
1355.070996,58
1355.395822,68
1355.720645,73
1356.045465,64
1356.370282,69
1356.695096,56
1357.019906,57
1357.344714,73
1357.669518,91
1357.99432,71
1358.319118,77
1358.643913,71
1358.968705,67
1359.293494,64
1359.61828,73
1359.943062,71
1360.267842,82
1360.592618,65
1360.917392,64
1361.242162,54
1361.566929,71
1361.891693,65
1362.216454,52
1362.541211,56
1362.865966,79
1363.190717,87
1363.515466,89
1363.840211,83
1364.164953,90
1364.489692,61
1364.814427,71
1365.13916,67
1365.463889,67
1365.788615,75
1366.113339,91
1366.438058,85
1366.762775,87
1367.087489,83
1367.412199,85
1367.736906,89
1368.06161,77
1368.386311,79
1368.711009,84
1369.035703,77
1369.360395,97
1369.685083,96
1370.009768,78
1370.334449,87
1370.659128,84
1370.983803,82
1371.308475,83
1371.633144,98
1371.95781,96
1372.282473,86
1372.607132,99
1372.931788,88
1373.256441,109
1373.58109,102
1373.905737,99
1374.23038,109
1374.55502,97
