wavelength;intensity
13716331443018.00;97
137195781002163.00;88
137228247253264.00;90
137260713183235.00;99
137293178791825.00;114
137325644078786.00;104
137358109043868.00;102
137390573686821.00;125
137423038007398.00;125
137455502005347.00;114
13748796568042.00;104
137520429032368.00;114
13755289206094.00;104
137585354765889.00;129
137617817146964.00;116
137650279203916.00;118
137682740936495.00;114
137715202344454.00;108
137747663427541.00;145
137780124185508.00;143
137812584618106.00;127
137845044725086.00;104
137877504506197.00;108
137909963961191.00;117
137942423089819.00;138
13797488189183.00;144
138007340366977.00;113
138039798515009.00;97
138072256335678.00;94
138104713828735.00;107
138137170993929.00;141
138169627831011.00;146
138202084339734.00;125
138234540519846.00;98
1382669963711.00;67
138299451893246.00;111
138331907086034.00;115
138364361949216.00;133
138396816482542.00;134
138429270685762.00;158
138461724558629.00;135
138494178100893.00;129
138526631312304.00;134
138559084192613.00;129
138591536741572.00;149
138623988958931.00;153
13865644084444.00;169
138688892397852.00;176
138721343618915.00;154
138753794507383.00;146
138786245063004.00;131
138818695285531.00;128
138851145174714.00;159
138883594730304.00;162
138916043952052.00;179
138948492839709.00;180
138980941393025.00;167
139013389611752.00;187
13904583749564.00;198
13907828504444.00;187
139110732257904.00;182
139143179135783.00;187
139175625677826.00;167
139208071883786.00;151
139240517753412.00;133
139272963286457.00;167
139305408482671.00;190
139337853341805.00;197
139370297863609.00;188
139402742047836.00;195
139435185894235.00;186
139467629402558.00;165
139500072572557.00;147
139532515403981.00;155
139564957896582.00;165
13959740005011.00;179
139629841864318.00;149
139662283338956.00;175
139694724473774.00;188
139727165268525.00;198
139759605722959.00;217
139792045836826.00;226
139824485609879.00;229
139856925041868.00;217
139889364132544.00;223
139921802881659.00;206
139954241288963.00;188
139986679354207.00;173
140019117077143.00;181
140051554457522.00;157
140083991495094.00;183
140116428189612.00;182
140148864540825.00;198
140181300548485.00;226
140213736212344.00;243
140246171532152.00;257
14027860650766.00;270
14031104113862.00;254
140343475424782.00;255
140375909365899.00;263
140408342961721.00;232
140440776211998.00;210
140473209116484.00;197
140505641674927.00;192
140538073887081.00;240
140570505752695.00;255
140602937271522.00;268
140635368443312.00;255
140667799267816.00;247
140700229744787.00;226
140732659873974.00;231
140765089655129.00;246
140797519088004.00;272
14082994817235.00;283
140862376907917.00;280
140894805294457.00;251
140927233331722.00;229
140959661019463.00;231
140992088357431.00;262
141024515345376.00;291
141056941983052.00;294
141089368270208.00;305
141121794206596.00;306
141154219791967.00;322
141186645026073.00;309
141219069908666.00;309
141251494439495.00;323
141283918618313.00;318
141316342444871.00;322
14134876591892.00;302
141381189040212.00;294
141413611808498.00;282
14144603422353.00;273
141478456285057.00;299
141510877992833.00;321
141543299346609.00;317
141575720346135.00;346
141608140991164.00;340
141640561281446.00;362
141672981216733.00;361
141705400796776.00;349
141737820021328.00;328
141770238890138.00;341
141802657402959.00;350
141835075559543.00;366
141867493359639.00;340
141899910803001.00;329
141932327889379.00;333
141964744618526.00;339
141997160990191.00;350
142029577004127.00;368
142061992660086.00;373
142094407957818.00;387
142126822897076.00;379
14215923747761.00;406
142191651699173.00;400
142224065561515.00;402
142256479064389.00;394
142288892207545.00;396
142321304990736.00;379
142353717413713.00;387
142386129476227.00;370
14241854117803.00;392
142450952518873.00;405
142483363498509.00;417
142515774116688.00;417
142548184373163.00;418
142580594267684.00;410
142613003800004.00;431
142645412969873.00;426
142677821777045.00;446
142710230221269.00;434
142742638302299.00;433
142775046019884.00;429
142807453373778.00;424
142839860363732.00;451
142872266989496.00;424
142904673250824.00;447
142937079147467.00;454
142969484679175.00;454
143001889845702.00;464
143034294646799.00;472
143066699082216.00;466
143099103151707.00;456
143131506855023.00;466
143163910191914.00;461
143196313162134.00;463
143228715765434.00;457
143261118001566.00;465
14329351987028.00;493
14332592137133.00;508
143358322504467.00;516
143390723269442.00;503
143423123666007.00;481
143455523693914.00;502
143487923352916.00;520
143520322642762.00;525
143552721563207.00;520
143585120114.00;522
143617518294894.00;531
143649916105641.00;526
143682313545993.00;531
143714710615701.00;547
143747107314518.00;512
143779503642194.00;498
143811899598482.00;530
143844295183135.00;554
143876690395902.00;574
143909085236538.00;556
143941479704792.00;550
143973873800418.00;567
144006267523167.00;571
144038660872791.00;589
144071053849042.00;584
144103446451671.00;577
144135838680431.00;558
144168230535074.00;570
144200622015352.00;592
144233013121016.00;609
144265403851818.00;614
144297794207511.00;609
144330184187846.00;615
144362573792576.00;626
144394963021451.00;616
144427351874225.00;633
144459740350649.00;620
144492128450476.00;630
144524516173456.00;618
144556903519343.00;565
144589290487888.00;596
144621677078843.00;639
