nm, Ga, In
19.8608, 16.0531, 83.9469
19.9653, 17.0076, 82.9924
20.0698, 18.7038, 81.2962
20.1743, 19.5102, 80.4898
20.2789, 12.1015, 87.8985
20.3834, 16.694, 83.306
20.4879, 7.49124, 92.5088
20.5925, 13.1448, 86.8552
20.697, 8.40946, 91.5905
20.8015, 12.3227, 87.6773
20.9061, 10.9184, 89.0816
21.0106, 16.9819, 83.0181
21.1151, 12.4173, 87.5827
21.2196, 22.8178, 77.1822
21.3242, 14.0322, 85.9678
21.4287, 18.2508, 81.7492
21.5332, 13.6011, 86.3989
21.6378, 12.6869, 87.3131
21.7423, 13.8176, 86.1824
21.8468, 9.09665, 90.9034
21.9514, 11.871, 88.129
22.0559, 18.9642, 81.0358
22.1604, 13.3961, 86.6039
22.2649, 15.6904, 84.3096
22.3695, 13.0962, 86.9038
22.474, 12.8602, 87.1398
22.5785, 10.497, 89.503
22.6831, 14.6574, 85.3426
22.7876, 16.1344, 83.8656
22.8921, 17.7259, 82.2741
22.9967, 21.096, 78.904
23.1012, 4.76214, 95.2379
23.2057, 9.04002, 90.96
23.3103, 9.30294, 90.6971
23.4148, 17.3973, 82.6027
23.5193, 9.86286, 90.1371
23.6238, 8.17964, 91.8204
23.7284, 9.45014, 90.5499
23.8329, 5.23294, 94.7671
23.9374, 12.4385, 87.5615
24.042, 18.8705, 81.1295
24.1465, 11.3048, 88.6952
24.251, 11.9699, 88.0301
24.3556, 10.0603, 89.9397
24.4601, 14.1385, 85.8615
24.5646, 10.0382, 89.9618
24.6691, 4.77167, 95.2283
24.7737, 16.5579, 83.4421
24.8782, 7.64827, 92.3517
24.9827, 12.2079, 87.7921
25.0873, 8.20883, 91.7912
25.1918, 13.6592, 86.3409
25.2963, 17.242, 82.758
25.4009, 0, 100
25.5054, 2.31674, 97.6833
25.6099, 2.71911, 97.2809
25.7144, 10.5488, 89.4512
25.819, 8.16334, 91.8367
25.9235, 3.24691, 96.7531
26.028, 13.9514, 86.0486
26.1326, 13.2942, 86.7057
26.2371, 10.9441, 89.0559
26.3416, 8.43369, 91.5663
26.4462, 7.77725, 92.2227
26.5507, 3.07794, 96.9221
26.6552, 0.785267, 99.2147
26.7598, 5.55309, 94.4469
26.8643, 6.08625, 93.9137
26.9688, 3.14362, 96.8564
27.0733, 12.6381, 87.3619
27.1779, 7.95379, 92.0462
27.2824, 3.77226, 96.2277
27.3869, 7.72708, 92.2729
27.4915, 12.9321, 87.0679
27.596, 6.33173, 93.6683
27.7005, 5.35114, 94.6489
27.8051, 12.5978, 87.4022
27.9096, 4.52769, 95.4723
28.0141, 8.28713, 91.7129
28.1186, 3.28807, 96.7119
28.2232, 2.27961, 97.7204
28.3277, 1.91751, 98.0825
28.4322, 15.4508, 84.5492
28.5368, 5.57509, 94.4249
28.6413, 11.1719, 88.8281
28.7458, 4.73208, 95.2679
28.8504, 15.0889, 84.9111
28.9549, 5.53264, 94.4674
29.0594, 12.192, 87.808
29.1639, 3.95118, 96.0488
29.2685, 8.47982, 91.5202
29.373, 7.69525, 92.3047
29.4775, 2.3655, 97.6345
29.5821, 6.08938, 93.9106
29.6866, 0, 100
29.7911, 3.38594, 96.6141
29.8957, 5.275, 94.725
30.0002, 11.591, 88.409
30.1047, 9.50482, 90.4952
30.2092, 19.8411, 80.1589
30.3138, 2.10272, 97.8973
30.4183, 5.66903, 94.331
30.5228, 3.62163, 96.3784
30.6274, 9.14212, 90.8579
30.7319, 16.1334, 83.8666
30.8364, 6.43255, 93.5675
30.941, 11.2311, 88.7689
31.0455, 9.02477, 90.9752
31.15, 12.7848, 87.2152
31.2546, 8.15461, 91.8454
31.3591, 0.373206, 99.6268
31.4636, 7.60043, 92.3996
31.5681, 7.4076, 92.5924
31.6727, 1.28211, 98.7179
31.7772, 10.215, 89.785
31.8817, 10.544, 89.456
31.9863, 12.9492, 87.0508
32.0908, 6.48614, 93.5139
32.1953, 11.5366, 88.4634
32.2999, 9.39443, 90.6056
32.4044, 11.413, 88.587
32.5089, 17.5923, 82.4077
