nm,Ga,In
119.165,14.2099,85.7901
119.687,26.8586,73.1414
120.21,29.0692,70.9308
120.732,39.9674,60.0326
121.255,36.5917,63.4083
121.778,43.0962,56.9038
122.3,46.7683,53.2317
122.823,37.6132,62.3868
123.346,21.6029,78.3971
123.868,19.2166,80.7834
124.391,16.6944,83.3056
124.914,7.43134,92.5687
125.436,2.62948,97.3705
125.959,10.5313,89.4687
126.482,7.0298,92.9702
127.004,13.6937,86.3063
127.527,9.23436,90.7656
128.05,9.58418,90.4158
128.572,11.4165,88.5835
129.095,2.53928,97.4607
129.618,7.05375,92.9463
130.14,18.1312,81.8688
130.663,7.47817,92.5218
131.186,3.335,96.665
131.708,9.83918,90.1608
132.231,9.30467,90.6953
132.753,4.20739,95.7926
133.276,9.90172,90.0983
133.799,3.15595,96.844
134.321,16.9111,83.0889
134.844,7.68945,92.3105
135.367,0,100
135.889,7.6028,92.3972
136.412,7.87856,92.1214
136.935,3.86199,96.138
137.457,8.54386,91.4561
137.98,6.76136,93.2386
138.503,2.70183,97.2982
139.025,10.7386,89.2614
139.548,0.216779,99.7832
140.071,0,100
140.593,13.8128,86.1872
141.116,7.41238,92.5876
141.639,2.40105,97.5989
142.161,9.19252,90.8075
142.684,1.06438,98.9356
143.206,6.21186,93.7881
143.729,3.6986,96.3014
144.252,9.76226,90.2377
144.774,6.50626,93.4937
145.297,2.91265,97.0873
145.82,9.94859,90.0514
146.342,1.52178,98.4782
146.865,8.53882,91.4612
147.388,7.60403,92.396
147.91,5.94157,94.0584
148.433,0,100
148.956,0,100
149.478,6.2133,93.7867
150.001,14.105,85.895
150.524,12.747,87.253
151.046,4.32497,95.675
151.569,1.15528,98.8447
152.092,0,100
152.614,11.0787,88.9213
153.137,11.8486,88.1514
153.66,11.5469,88.4531
154.182,8.88726,91.1127
154.705,0,100
155.227,4.07412,95.9259
155.75,5.16048,94.8395
156.273,10.7152,89.2848
156.795,10.5242,89.4758
157.318,0,100
157.841,10.7219,89.2781
158.363,16.3132,83.6868
158.886,2.43072,97.5693
159.409,8.40683,91.5932
159.931,0,100
160.454,1.92072,98.0793
160.977,7.45101,92.549
161.499,2.68675,97.3132
162.022,6.17918,93.8208
162.545,12.1347,87.8653
163.067,13.8999,86.1001
163.59,10.2525,89.7475
164.113,12.0474,87.9526
164.635,2.63701,97.363
165.158,15.3551,84.6449
165.681,18.118,81.882
166.203,30.9565,69.0434
166.726,35.9662,64.0338
167.248,36.5648,63.4352
167.771,28.5529,71.4471
168.294,33.1662,66.8338
168.816,32.9218,67.0782
169.339,40.7014,59.2986
169.862,38.6516,61.3484
170.384,18.2154,81.7846
170.907,16.3559,83.6441
171.43,12.902,87.098
171.952,16.6436,83.3564
172.475,11.5332,88.4668
172.998,8.40354,91.5965
173.52,16.1488,83.8512
174.043,25.6453,74.3547
174.566,2.16874,97.8313
175.088,9.28144,90.7186
175.611,17.5119,82.4881
176.134,7.43288,92.5671
176.656,16.899,83.101
177.179,1.12742,98.8726
177.701,12.6213,87.3787
178.224,19.9621,80.0379
178.747,0,100
179.269,12.2732,87.7268
179.792,7.64896,92.351
180.315,2.67111,97.3289
180.837,7.65636,92.3436
181.36,17.1523,82.8477
181.883,5.11896,94.881
182.405,11.739,88.261
182.928,7.70098,92.299
183.451,6.36915,93.6308
183.973,17.0816,82.9184
184.496,13.1186,86.8814
185.019,18.0593,81.9407
185.541,0.856077,99.1439
186.064,7.90769,92.0923
186.587,1.5596,98.4404
187.109,8.08642,91.9136
187.632,9.70775,90.2923
188.155,7.71812,92.2819
188.677,6.63713,93.3629
189.2,2.95897,97.041
189.722,1.49632,98.5037
190.245,10.449,89.551
190.768,13.7266,86.2734
191.29,5.86738,94.1326
191.813,0.109409,99.8906
192.336,4.33895,95.661
192.858,7.39692,92.6031
193.381,10.3286,89.6714
193.904,2.40117,97.5988
194.426,0,100
194.949,7.48321,92.5168
195.472,9.20171,90.7983
195.994,11.9661,88.0339
196.517,6.15549,93.8445
197.04,10.8374,89.1626
197.562,2.45335,97.5466
198.085,0,100
198.608,12.2969,87.7031
199.13,0.514015,99.486
199.653,0,100
200.176,0,100
200.698,2.62679,97.3732
201.221,6.38619,93.6138
201.743,6.14647,93.8535
202.266,12.4596,87.5404
202.789,9.92907,90.0709
203.311,1.52066,98.4793
203.834,13.3164,86.6836
204.357,13.9802,86.0198
204.879,6.9826,93.0174
205.402,6.16567,93.8343
205.925,8.30904,91.691
206.447,12.5693,87.4307
206.97,7.3544,92.6456
207.493,9.23503,90.765
208.015,12.4884,87.5117
208.538,14.0462,85.9538
209.061,6.51497,93.485
209.583,7.72104,92.279
210.106,12.0167,87.9833
210.629,16.1774,83.8226
211.151,10.6085,89.3915
211.674,19.0069,80.9931
212.196,17.0455,82.9545
212.719,31.5712,68.4288
213.242,26.9471,73.0529
213.764,29.2718,70.7282
214.287,47.1833,52.8167
214.81,30.8827,69.1173
215.332,15.9823,84.0177
215.855,44.0194,55.9806
216.378,37.0427,62.9573
216.9,35.2049,64.7951
217.423,28.9347,71.0653
217.946,25.1525,74.8475
218.468,8.62387,91.3761
218.991,17.5267,82.4733
219.514,27.7925,72.2075
220.036,14.9945,85.0055
220.559,13.0241,86.9759
221.082,27.1976,72.8024
221.604,13.9226,86.0774
222.127,19.5475,80.4525
222.65,13.8023,86.1977
223.172,9.1628,90.8372
223.695,13.0027,86.9973
224.217,0,100
224.74,16.242,83.758
225.263,8.32625,91.6738
225.785,12.8544,87.1456
226.308,3.89593,96.1041
226.831,6.14257,93.8574
227.353,9.00724,90.9928
227.876,14.7793,85.2207
228.399,5.56148,94.4385
228.921,10.0722,89.9278
229.444,4.77576,95.2242
229.967,2.25224,97.7478
230.489,7.72024,92.2798
231.012,7.26369,92.7363
231.535,3.56056,96.4394
232.057,0,100
232.58,1.29994,98.7001
233.103,3.45197,96.548
233.625,6.17201,93.828
234.148,0.0642292,99.9358
234.67,10.1854,89.8146
235.193,8.44034,91.5597
235.716,10.0351,89.9649
236.238,3.7416,96.2584
236.761,5.82229,94.1777
237.284,13.2301,86.7699
237.806,3.80364,96.1964
238.329,2.92639,97.0736
238.852,9.71742,90.2826
239.374,0.873389,99.1266
239.897,10.9582,89.0418
240.42,15.543,84.4569
240.942,2.75647,97.2435
241.465,8.34921,91.6508
241.988,1.95106,98.0489
242.51,3.60176,96.3982
243.033,7.54733,92.4527
243.556,7.02905,92.9709
244.078,9.41005,90.59
244.601,9.19459,90.8054
245.124,0,100
245.646,7.0418,92.9582
246.169,13.5584,86.4416
246.691,17.1085,82.8915
247.214,5.61637,94.3836
247.737,3.12341,96.8766
248.259,13.701,86.299
248.782,17.2901,82.7099
249.305,0,100
249.827,18.5413,81.4587
250.35,7.46949,92.5305
250.873,8.11158,91.8884
251.395,11.7919,88.2081
251.918,15.2791,84.7209
252.441,0,100
