nm,P,As
113.938,91.9964,8.00364
114.461,85.6161,14.3839
114.983,88.1296,11.8704
115.506,85.3303,14.6697
116.029,87.6568,12.3432
116.551,88.9204,11.0796
117.074,87.5818,12.4182
117.597,81.2407,18.7593
118.119,71.5829,28.4171
118.642,80.1104,19.8896
119.165,62.0243,37.9757
119.687,56.2904,43.7096
120.21,29.5631,70.4369
120.732,42.6786,57.3214
121.255,28.3208,71.6792
121.778,22.2507,77.7493
122.3,19.9564,80.0436
122.823,43.2234,56.7766
123.346,71.4986,28.5014
123.868,59.633,40.367
124.391,79.1564,20.8436
124.914,77.223,22.777
125.436,74.3578,25.6422
125.959,81.1602,18.8398
126.482,83.5725,16.4275
127.004,80.5402,19.4598
127.527,78.9521,21.0479
128.05,75.5218,24.4782
128.572,84.339,15.661
129.095,86.7248,13.2752
129.618,84.9355,15.0645
130.14,81.0981,18.9019
130.663,87.6608,12.3392
131.186,90.4277,9.5723
131.708,91.4929,8.50708
132.231,84.5011,15.4989
132.753,90.3393,9.66068
133.276,87.6161,12.3839
133.799,90.9918,9.00816
134.321,91.7054,8.29462
134.844,86.9435,13.0565
135.367,89.0083,10.9917
135.889,87.2843,12.7157
136.412,89.7339,10.2661
136.935,84.9487,15.0513
137.457,89.4915,10.5085
137.98,88.6103,11.3897
138.503,93.0756,6.92443
139.025,88.1876,11.8124
139.548,80.8108,19.1892
140.071,85.5145,14.4855
140.593,90.9823,9.01773
141.116,91.262,8.738
141.639,82.0374,17.9626
142.161,91.8594,8.14059
142.684,96.5669,3.4331
143.206,93.5542,6.44582
143.729,94.9846,5.01539
144.252,86.2499,13.7501
144.774,94.0671,5.93292
145.297,87.2157,12.7843
145.82,92.9419,7.05812
146.342,91.9366,8.06336
146.865,91.063,8.93697
147.388,95.4892,4.51084
147.91,92.0188,7.98121
148.433,92.9749,7.02512
148.956,90.4423,9.55767
149.478,91.8718,8.12817
150.001,94.7749,5.22509
150.524,95.6775,4.32252
151.046,87.5171,12.4829
151.569,88.144,11.856
152.092,91.9854,8.01461
152.614,92.5765,7.42347
153.137,96.0088,3.99121
153.66,93.8292,6.17081
154.182,89.2147,10.7853
154.705,89.6232,10.3768
155.227,91.8803,8.11965
155.75,93.1594,6.84058
156.273,89.5384,10.4616
156.795,92.8381,7.16191
157.318,96.9328,3.06722
157.841,91.0117,8.98833
158.363,86.7249,13.2751
158.886,96.7982,3.20179
159.409,91.2904,8.7096
159.931,94.0958,5.90418
160.454,88.9641,11.0359
160.977,90.3593,9.64073
161.499,89.7149,10.2851
162.022,85.0686,14.9314
162.545,89.0452,10.9548
163.067,83.0625,16.9375
163.59,82.9805,17.0195
164.113,86.7209,13.2791
164.635,82.158,17.842
165.158,73.4738,26.5262
165.681,62.7901,37.2099
166.203,38.7844,61.2156
166.726,49.4453,50.5547
167.248,53.9914,46.0086
167.771,52.6406,47.3594
168.294,44.7976,55.2024
168.816,51.7517,48.2483
169.339,47.549,52.451
169.862,60.9035,39.0965
170.384,75.9099,24.0901
170.907,72.9806,27.0194
171.43,80.8759,19.1241
171.952,79.6017,20.3983
172.475,77.7009,22.2991
172.998,80.8827,19.1173
173.52,83.7958,16.2042
174.043,81.3066,18.6934
174.566,78.0947,21.9053
175.088,82.4679,17.5321
175.611,80.7684,19.2316
176.134,79.1253,20.8747
176.656,80.5728,19.4272
177.179,88.5369,11.4631
177.701,82.9143,17.0857
178.224,91.121,8.879
178.747,81.056,18.944
179.269,84.1642,15.8358
179.792,88.5271,11.4729
180.315,73.0183,26.9817
180.837,80.9698,19.0302
181.36,85.8411,14.1589
181.883,81.5486,18.4514
182.405,86.7884,13.2116
182.928,82.8661,17.1339
183.451,86.2795,13.7205
183.973,80.4638,19.5362
184.496,81.1723,18.8277
185.019,84.0458,15.9542
185.541,86.3661,13.6339
186.064,91.2062,8.79377
186.587,93.1387,6.86135
187.109,88.9526,11.0474
187.632,91.8692,8.13085
188.155,88.4815,11.5185
188.677,93.6405,6.35948
189.2,94.4539,5.54613
189.722,86.3437,13.6563
190.245,89.8953,10.1047
190.768,92.8208,7.17917
191.29,91.1832,8.81681
191.813,91.0476,8.95239
192.336,85.9224,14.0776
192.858,90.1996,9.80036
193.381,94.9906,5.00939
193.904,93.868,6.13202
194.426,83.8757,16.1243
194.949,89.3652,10.6348
195.472,93.0496,6.95044
195.994,92.156,7.84398
196.517,91.8143,8.18567
197.04,90.7754,9.22463
197.562,90.0267,9.97326
198.085,91.5038,8.49618
198.608,94.6009,5.39912
199.13,91.8669,8.13313
199.653,95.4468,4.55317
200.176,91.8975,8.10255
200.698,92.4883,7.51168
201.221,90.2802,9.71985
201.743,86.769,13.231
202.266,90.5338,9.46619
202.789,90.983,9.01697
203.311,89.5097,10.4903
203.834,87.6529,12.3471
204.357,93.3047,6.69534
204.879,95.292,4.708
205.402,83.9911,16.0089
205.925,87.0538,12.9462
206.447,95.9211,4.07889
206.97,92.5685,7.43155
207.493,89.556,10.444
208.015,90.6124,9.38764
208.538,89.7607,10.2393
209.061,90.5736,9.42644
209.583,86.1734,13.8266
210.106,84.8809,15.1191
