nm,Ga,In,P,As
0,5.06571,94.9343,82.2241,17.7759
0.0783977,7.50869,92.4913,83.5513,16.4487
0.156795,3.00821,96.9918,83.877,16.123
0.235193,0.720495,99.2795,88.0925,11.9075
0.313591,6.04355,93.9565,79.3031,20.6969
0.391989,0,100,78.3015,21.6985
0.470386,0.435842,99.5642,80.5957,19.4043
0.548784,2.97064,97.0294,81.4633,18.5367
0.627182,4.71695,95.2831,83.4285,16.5715
0.705579,0,100,88.3275,11.6725
0.783977,6.67224,93.3278,89.7837,10.2163
0.862375,0,100,82.7192,17.2808
0.940772,0,100,74.6182,25.3818
1.01917,3.1896,96.8104,87.879,12.121
1.09757,5.13833,94.8617,81.9811,18.0189
1.17597,0.119338,99.8807,82.6113,17.3887
1.25436,7.25829,92.7417,88.6168,11.3832
1.33276,4.55196,95.448,85.0202,14.9798
1.41116,0,100,86.3581,13.6419
1.48956,7.02468,92.9753,89.7794,10.2206
1.56795,3.14326,96.8567,85.7303,14.2697
1.64635,0,100,89.3585,10.6415
1.72475,0.208315,99.7917,93.0499,6.95009
1.80315,12.8098,87.1902,83.3366,16.6634
1.88154,0.428206,99.5718,81.7296,18.2704
1.95994,4.31404,95.686,76.4645,23.5355
2.03834,8.22073,91.7793,88.0073,11.9927
2.11674,10.4867,89.5133,83.9611,16.0389
2.19514,0,100,80.3138,19.6862
2.27353,4.5226,95.4774,85.4982,14.5018
2.35193,0,100,77.9334,22.0666
2.43033,10.5939,89.4061,83.8973,16.1027
2.50873,0,100,82.4153,17.5847
2.58712,5.89283,94.1072,76.172,23.828
2.66552,1.81119,98.1888,80.969,19.031
2.74392,0,100,80.8646,19.1354
2.82232,3.72718,96.2728,82.0667,17.9333
2.90072,2.2273,97.7727,88.9137,11.0864
2.97911,7.72375,92.2763,82.2157,17.7843
3.05751,0,100,84.1733,15.8267
3.13591,8.17745,91.8225,70.5022,29.4978
3.21431,4.044,95.956,71.6614,28.3386
3.2927,0,100,84.2768,15.7232
3.3711,2.60223,97.3978,87.0031,12.9969
3.4495,7.77322,92.2268,83.7461,16.2539
3.5279,3.69424,96.3058,76.8745,23.1255
3.60629,5.29116,94.7088,83.2463,16.7537
3.68469,14.2905,85.7095,85.8775,14.1225
3.76309,5.93679,94.0632,74.2708,25.7292
3.84149,6.90136,93.0986,69.1392,30.8608
3.91989,3.48032,96.5197,62.5733,37.4267
3.99828,5.80178,94.1982,73.8949,26.1051
4.07668,6.10436,93.8956,72.4349,27.5651
4.15508,4.53847,95.4615,71.7289,28.2711
4.23348,0,100,73.1589,26.8411
4.31187,7.47745,92.5226,50.4511,49.5489
4.39027,8.78471,91.2153,72.7313,27.2687
4.46867,11.4714,88.5286,58.9696,41.0304
4.54707,5.03316,94.9668,65.7059,34.2941
4.62546,10.3201,89.6799,55.1452,44.8548
4.70386,3.1348,96.8652,58.6592,41.3408
4.78226,12.2828,87.7172,49.2316,50.7684
4.86066,0,100,38.8327,61.1673
4.93906,0,100,37.266,62.734
5.01745,17.9967,82.0033,53.3454,46.6546
5.09585,5.01424,94.9858,51.2851,48.7149
5.17425,0,100,36.0172,63.9828
5.25265,6.75155,93.2484,24.1137,75.8863
5.33104,4.2573,95.7427,31.2064,68.7936
5.40944,3.43886,96.5611,37.3473,62.6527
5.48784,5.42968,94.5703,36.7968,63.2032
5.56624,1.75275,98.2473,39.8227,60.1773
5.64463,11.8193,88.1807,38.4088,61.5912
5.72303,8.48954,91.5105,29.0171,70.9829
5.80143,10.7578,89.2422,36.0036,63.9964
5.87983,10.1483,89.8517,21.8347,78.1653
5.95823,9.42239,90.5776,25.5959,74.4041
6.03662,10.9542,89.0458,21.8202,78.1798
6.11502,4.34881,95.6512,27.6749,72.3251
6.19342,1.67171,98.3283,19.2239,80.7761
6.27182,3.00896,96.991,11.2199,88.7801
6.35021,7.27309,92.7269,21.3571,78.6429
6.42861,9.35538,90.6446,20.7309,79.2691
6.50701,0.667358,99.3326,17.5609,82.4391
6.58541,1.66411,98.3359,15.3203,84.6797
6.66381,14.6121,85.3879,15.7081,84.2919
6.7422,2.08215,97.9179,22.3983,77.6017
6.8206,7.944,92.056,11.3256,88.6744
6.899,4.48417,95.5158,30.3803,69.6197
6.9774,16.9711,83.0289,20.7356,79.2644
7.05579,2.70461,97.2954,12.6275,87.3725
7.13419,10.0769,89.9231,26.8304,73.1696
7.21259,16.6535,83.3465,8.28092,91.7191
7.29099,8.37227,91.6277,31.9595,68.0405
7.36938,7.29796,92.702,22.8873,77.1127
7.44778,18.0849,81.9151,26.2691,73.7309
7.52618,0.0150711,99.9849,20.2939,79.7061
7.60458,1.66464,98.3354,13.0472,86.9528
7.68298,12.1372,87.8628,13.0345,86.9655
7.76137,8.92498,91.075,26.975,73.025
7.83977,7.07776,92.9222,19.0084,80.9916
7.91817,19.1111,80.8889,16.5597,83.4403
7.99657,13.1813,86.8187,18.4771,81.5229
8.07496,9.6656,90.3344,23.3629,76.6371
8.15336,0.584419,99.4156,18.1823,81.8177
8.23176,13.6551,86.3449,16.5362,83.4638
8.31016,3.93589,96.0641,17.6013,82.3987
8.38855,5.07632,94.9237,28.666,71.334
8.46695,7.32645,92.6735,17.0107,82.9893
8.54535,8.66551,91.3345,26.7135,73.2865
8.62375,14.9009,85.0991,18.5843,81.4157
8.70215,10.5468,89.4532,25.3055,74.6945
8.78054,0,100,19.6497,80.3503
8.85894,19.5441,80.4559,30.0745,69.9255
8.93734,17.6249,82.3751,29.1234,70.8766
9.01574,2.77189,97.2281,26.813,73.187
9.09413,3.2511,96.7489,30.0075,69.9925
9.17253,9.12965,90.8704,23.9017,76.0983
9.25093,10.1599,89.8401,27.2935,72.7065
9.32933,1.17948,98.8205,30.2886,69.7114
9.40772,6.62171,93.3783,12.582,87.418
9.48612,5.21301,94.787,35.1413,64.8587
9.56452,14.6097,85.3903,21.3956,78.6044
9.64292,12.2572,87.7428,23.4662,76.5338
9.72132,6.52568,93.4743,23.3242,76.6758
9.79971,3.32314,96.6769,38.1204,61.8796
9.87811,12.0257,87.9743,42.0733,57.9267
9.95651,8.68902,91.311,44.0113,55.9887
10.0349,0,100,48.3055,51.6945
10.1133,0.614299,99.3857,53.553,46.447
10.1917,6.52355,93.4764,49.3154,50.6846
10.2701,0,100,48.74,51.26
10.3485,10.6395,89.3605,39.7675,60.2325
10.4269,1.8946,98.1054,43.8254,56.1746
10.5053,8.34275,91.6572,52.3671,47.6329
10.5837,8.55021,91.4498,50.5781,49.4219
10.6621,8.73783,91.2622,63.4428,36.5572
10.7405,7.24871,92.7513,60.3731,39.6269
10.8189,0,100,57.6035,42.3965
10.8973,1.53469,98.4653,58.8927,41.1073
10.9757,5.02281,94.9772,58.2973,41.7027
11.0541,1.28029,98.7197,58.5753,41.4247
11.1325,0,100,69.0353,30.9647
11.2109,6.14874,93.8513,61.4338,38.5662
11.2893,2.50857,97.4914,62.4194,37.5806
11.3677,0,100,65.7231,34.2769
11.4461,6.65415,93.3459,69.8664,30.1336
11.5245,3.26826,96.7317,70.8284,29.1716
11.6029,0.828847,99.1712,63.5188,36.4812
11.6813,5.82357,94.1764,64.3038,35.6962
11.7597,0,100,65.9119,34.0881
11.8381,13.8266,86.1734,70.6271,29.3729
11.9165,0,100,52.0923,47.9077
11.9948,3.94727,96.0527,69.277,30.723
12.0732,6.93783,93.0622,59.8849,40.1151
12.1516,9.21422,90.7858,68.9173,31.0827
12.23,0,100,75.2685,24.7315
12.3084,6.74993,93.2501,74.8781,25.1219
12.3868,0,100,65.3106,34.6894
12.4652,0,100,74.4952,25.5048
12.5436,5.65941,94.3406,69.5858,30.4142
12.622,0.523309,99.4767,61.386,38.614
12.7004,7.21352,92.7865,72.1604,27.8396
12.7788,0.144134,99.8559,67.9025,32.0975
12.8572,4.36474,95.6353,65.5769,34.4231
12.9356,0,100,67.306,32.694
13.014,0,100,82.0164,17.9836
13.0924,3.56048,96.4395,72.7832,27.2168
13.1708,1.21018,98.7898,65.7436,34.2564
13.2492,1.32564,98.6744,64.6723,35.3277
13.3276,2.66954,97.3305,65.6643,34.3357
13.406,15.0628,84.9372,75.0663,24.9337
13.4844,4.98486,95.0151,66.3228,33.6772
13.5628,1.02718,98.9728,66.0497,33.9503
13.6412,0.758327,99.2417,68.6245,31.3755
13.7196,3.61457,96.3854,66.897,33.103
13.798,0,100,68.6062,31.3938
13.8764,11.8225,88.1775,70.6028,29.3972
13.9548,0,100,75.6242,24.3759
14.0332,6.85197,93.148,70.0092,29.9908
14.1116,8.94354,91.0565,74.8252,25.1748
14.19,1.06814,98.9319,79.2548,20.7452
14.2684,0,100,70.5052,29.4948
14.3468,0.0241009,99.9759,71.4915,28.5085
14.4252,4.21052,95.7895,74.3732,25.6268
14.5036,0,100,81.2586,18.7414
14.582,13.0042,86.9958,81.5368,18.4632
14.6604,3.47802,96.522,75.0889,24.9112
14.7388,9.61657,90.3834,72.1662,27.8338
14.8172,0.860678,99.1393,75.9918,24.0082
14.8956,1.51818,98.4818,67.1999,32.8001
14.974,1.22476,98.7752,68.7547,31.2453
15.0524,9.22232,90.7777,77.064,22.936
15.1308,0,100,70.8351,29.1649
15.2092,0,100,74.4826,25.5174
15.2876,1.99683,98.0032,77.0435,22.9565
15.366,5.03828,94.9617,74.2485,25.7515
15.4443,16.4636,83.5364,84.8807,15.1193
15.5227,11.6862,88.3138,72.6151,27.3849
15.6011,0.961466,99.0385,79.5987,20.4013
