nm,Ga,In,P,As
8.15336,8.25853,91.7415,62.9926,37.0074
8.21608,8.47671,91.5233,70.7862,29.2138
8.2788,6.96904,93.031,75.0155,24.9845
8.34152,13.1831,86.8169,77.6928,22.3072
8.40423,11.5253,88.4747,64.7986,35.2014
8.46695,8.35769,91.6423,66.5955,33.4045
8.52967,3.50929,96.4907,64.6515,35.3485
8.59239,15.2515,84.7485,70.3695,29.6305
8.65511,16.5815,83.4185,68.7237,31.2763
8.71782,13.823,86.177,74.4668,25.5332
8.78054,7.7887,92.2113,64.3144,35.6856
8.84326,13.7196,86.2804,77.7732,22.2268
8.90598,15.1467,84.8533,71.5306,28.4694
8.9687,11.9849,88.0151,80.946,19.054
9.03142,11.0516,88.9484,68.6023,31.3977
9.09413,14.6872,85.3128,72.2097,27.7903
9.15685,5.1155,94.8845,72.1363,27.8637
9.21957,6.46328,93.5367,81.5051,18.4948
9.28229,13.0335,86.9665,71.6315,28.3685
9.34501,12.1946,87.8054,77.7061,22.2939
9.40773,5.34703,94.653,79.4117,20.5883
9.47044,19.7125,80.2875,71.6346,28.3654
9.53316,0,100,75.4005,24.5995
9.59588,12.4624,87.5376,73.8243,26.1757
9.6586,8.41133,91.5887,65.7246,34.2754
9.72132,14.0967,85.9033,76.1568,23.8432
9.78403,4.61847,95.3815,74.5922,25.4078
9.84675,6.82163,93.1784,69.5097,30.4903
9.90947,8.20048,91.7995,79.0745,20.9255
9.97219,2.50435,97.4957,65.2316,34.7684
10.0349,9.6307,90.3693,74.9966,25.0034
10.0976,7.62273,92.3773,72.011,27.989
10.1603,4.88806,95.1119,79.6474,20.3526
10.2231,4.22326,95.7767,76.8384,23.1616
10.2858,1.15394,98.8461,73.3981,26.6019
10.3485,11.7961,88.2039,78.5279,21.4721
10.4112,12.2019,87.7981,89.2322,10.7678
10.4739,9.56144,90.4386,83.944,16.056
10.5367,2.48787,97.5121,66.7348,33.2652
10.5994,10.8505,89.1495,68.8337,31.1663
10.6621,6.41192,93.5881,78.541,21.459
10.7248,3.87943,96.1206,81.0056,18.9944
10.7875,0.525402,99.4746,79.2512,20.7488
10.8502,8.53092,91.4691,72.4456,27.5544
10.913,11.1154,88.8846,74.5581,25.4419
10.9757,8.08266,91.9173,83.4116,16.5884
11.0384,7.87795,92.1221,78.9175,21.0825
11.1011,9.73684,90.2632,71.2494,28.7506
11.1638,4.78449,95.2155,83.1616,16.8384
11.2266,13.1381,86.8619,74.9603,25.0397
11.2893,10.7798,89.2202,76.7945,23.2055
11.352,9.18615,90.8138,86.0823,13.9177
11.4147,9.2845,90.7155,81.653,18.347
11.4774,12.6908,87.3092,82.2835,17.7165
11.5401,2.45678,97.5432,77.3081,22.6919
11.6029,10.3292,89.6708,84.9311,15.0689
11.6656,8.81662,91.1834,71.2454,28.7546
11.7283,2.15014,97.8499,81.6459,18.3541
11.791,7.94265,92.0574,76.2609,23.7391
11.8537,6.06744,93.9326,84.3884,15.6116
11.9165,1.14105,98.8589,76.8739,23.1261
11.9792,5.14533,94.8547,74.7796,25.2204
12.0419,6.67732,93.3227,86.5638,13.4362
12.1046,5.73484,94.2652,89.0918,10.9082
12.1673,9.63217,90.3678,78.5415,21.4585
12.23,16.2778,83.7222,82.1734,17.8266
12.2928,0,100,81.0701,18.9299
12.3555,16.0195,83.9805,78.6398,21.3602
12.4182,11.5804,88.4196,78.259,21.741
12.4809,9.80494,90.1951,74.8611,25.1389
