wavelength, intensity
1320.622467952200, 23
1320.9476064942600, 18
1321.272742219600, 31
1321.5978751257100, 28
1321.9230052101100, 28
1322.2481324702800, 28
1322.5732569037400, 14
1322.8983785079700, 33
1323.2234972804800, 20
1323.5486132187600, 18
1323.8737263203300, 22
1324.1988365826700, 28
1324.5239440032800, 12
1324.8490485796700, 29
1325.1741503093400, 35
1325.4992491897800, 30
1325.824345218500, 31
1326.14943839300, 17
1326.4745287107700, 20
1326.7996161693100, 24
1327.1247007661300, 27
1327.4497824987300, 21
1327.774861364600, 17
1328.0999373612500, 25
1328.4250104861700, 41
1328.7500807368700, 32
1329.0751481108500, 34
1329.400212605600, 50
1329.7252742186300, 54
1330.0503329474400, 23
1330.3753887895200, 15
1330.7004417423900, 46
1331.0254918035300, 32
1331.3505389704500, 40
1331.6755832406500, 30
1332.0006246116300, 20
1332.3256630808900, 41
1332.6506986459400, 32
1332.9757313042600, 22
1333.3007610533700, 34
1333.6257878907700, 29
1333.9508118139400, 38
1334.2758328204100, 48
1334.6008509076600, 51
1334.925866073200, 44
1335.2508783145200, 44
1335.5758876291400, 50
1335.9008940145500, 33
1336.2258974682400, 45
1336.5508979877400, 34
1336.8758955705200, 36
1337.200890214100, 37
1337.5258819159800, 27
1337.8508706736600, 53
1338.1758564846300, 51
1338.5008393464100, 45
1338.8258192564800, 40
1339.1507962123600, 35
1339.4757702115500, 51
1339.8007412515400, 57
1340.1257093298400, 37
1340.4506744439600, 53
1340.7756365913800, 32
1341.1005957696100, 52
1341.4255519761700, 57
1341.7505052085300, 43
1342.0754554642200, 47
1342.4004027407300, 49
1342.7253470355600, 64
1343.0502883462100, 35
1343.3752266701900, 54
1343.70016200500, 57
1344.0250943481400, 59
1344.3500236971100, 43
1344.6749500494200, 32
1344.9998734025700, 58
1345.3247937540500, 50
1345.6497111013800, 70
1345.9746254420500, 48
1346.2995367735700, 46
1346.6244450934300, 48
1346.9493503991500, 72
1347.2742526882200, 52
1347.5991519581500, 54
1347.9240482064400, 52
1348.2489414305900, 50
1348.5738316281100, 44
1348.8987187964900, 44
1349.2236029332400, 56
1349.5484840358700, 64
1349.8733621018700, 49
1350.1982371287500, 52
1350.5231091140100, 40
1350.8479780551600, 65
1351.1728439496900, 79
1351.4977067951100, 47
1351.8225665889300, 65
1352.1474233286500, 51
1352.4722770117700, 63
1352.7971276357900, 50
1353.1219751982200, 54
1353.4468196965600, 52
1353.7716611283100, 65
1354.0964994909800, 48
1354.4213347820700, 53
1354.7461669990900, 52
1355.0709961395300, 67
1355.395822200900, 60
1355.7206451807200, 64
1356.0454650764600, 80
1356.3702818856600, 76
1356.695095605800, 77
1357.0199062343900, 72
1357.3447137689300, 68
1357.6695182069300, 73
1357.994319545900, 67
1358.3191177833300, 61
1358.6439129167400, 72
1358.9687049436100, 59
1359.2934938614700, 60
1359.6182796678100, 61
1359.9430623601400, 73
1360.2678419359600, 74
1360.5926183927700, 55
1360.9173917280900, 66
1361.2421619394100, 62
1361.5669290242400, 59
1361.8916929800900, 47
1362.2164538044500, 44
1362.5412114948400, 64
1362.8659660487600, 68
1363.1907174637100, 92
1363.5154657371900, 79
1363.8402108667200, 75
1364.164952849800, 77
1364.4896916839300, 59
1364.8144273666200, 75
1365.1391598953700, 68
1365.4638892676900, 74
1365.7886154810900, 81
1366.1133385330600, 97
1366.4380584211100, 78
1366.7627751427500, 91
1367.0874886954900, 87
1367.4121990768300, 80
1367.7369062842700, 77
1368.0616103153200, 76
1368.3863111674900, 91
1368.7110088382800, 94
1369.0357033251900, 87
1369.3603946257400, 104
1369.6850827374300, 78
1370.0097676577600, 86
1370.3344493842500, 97
1370.6591279143900, 85
1370.9838032456900, 82
