nm, Ga, In
0, 0, 100
0.50523, 4.47325, 95.5267
1.01046, 5.12545, 94.8745
1.51569, 5.75259, 94.2474
2.02092, 3.65487, 96.3451
2.52615, 6.96549, 93.0345
3.03138, 5.3783, 94.6217
3.53661, 4.51745, 95.4826
4.04184, 18.0066, 81.9934
4.54707, 0, 100
5.0523, 3.70731, 96.2927
5.55753, 3.05308, 96.9469
6.06276, 4.86618, 95.1338
6.56799, 9.41161, 90.5884
7.07322, 5.71149, 94.2885
7.57845, 0.904245, 99.0958
8.08368, 0.642737, 99.3573
8.58891, 9.98723, 90.0128
9.09414, 1.76768, 98.2323
9.59936, 4.16604, 95.834
10.1046, 14.3748, 85.6252
10.6098, 0, 100
11.1151, 0, 100
11.6203, 2.81515, 97.1848
12.1255, 3.21177, 96.7882
12.6307, 4.06607, 95.9339
13.136, 3.63297, 96.367
13.6412, 0, 100
14.1464, 0, 100
14.6517, 0.0417552, 99.9582
15.1569, 0, 100
15.6621, 7.09476, 92.9052
16.1674, 0.0339242, 99.9661
16.6726, 11.0132, 88.9868
17.1778, 5.81188, 94.1881
17.683, 7.82195, 92.178
18.1883, 1.31299, 98.687
18.6935, 3.12038, 96.8796
19.1987, 10.2547, 89.7453
19.704, 5.04003, 94.96
20.2092, 0, 100
20.7144, 2.48499, 97.515
21.2196, 3.11672, 96.8833
21.7249, 7.65636, 92.3436
22.2301, 11.2049, 88.7951
22.7353, 0, 100
23.2406, 0, 100
23.7458, 8.07154, 91.9285
24.251, 0.213877, 99.7861
24.7563, 4.22697, 95.773
25.2615, 7.91499, 92.085
25.7667, 4.62453, 95.3755
26.2719, 3.15421, 96.8458
26.7772, 0.367395, 99.6326
27.2824, 2.76017, 97.2398
27.7876, 8.12419, 91.8758
28.2929, 5.12085, 94.8792
28.7981, 0, 100
29.3033, 0, 100
29.8086, 14.8123, 85.1877
30.3138, 5.60663, 94.3934
30.819, 0, 100
31.3242, 5.05776, 94.9422
31.8295, 3.77108, 96.2289
32.3347, 2.01434, 97.9857
32.8399, 4.49521, 95.5048
33.3452, 7.83194, 92.1681
33.8504, 7.37503, 92.625
34.3556, 11.8365, 88.1635
34.8609, 6.40221, 93.5978
35.3661, 7.7134, 92.2866
35.8713, 2.4778, 97.5222
36.3765, 6.01351, 93.9865
36.8818, 9.43049, 90.5695
37.387, 7.51272, 92.4873
37.8922, 2.12196, 97.878
38.3975, 6.90586, 93.0941
38.9027, 5.59759, 94.4024
39.4079, 8.15789, 91.8421
39.9131, 14.8493, 85.1507
40.4184, 14.5672, 85.4328
40.9236, 19.7207, 80.2793
41.4288, 18.5566, 81.4434
41.9341, 16.5506, 83.4494
42.4393, 29.2264, 70.7736
42.9445, 32.3111, 67.6889
43.4498, 22.1883, 77.8117
43.955, 29.8686, 70.1314
44.4602, 43.7061, 56.2939
44.9654, 28.4228, 71.5772
45.4707, 45.8299, 54.1701
45.9759, 30.6322, 69.3678
46.4811, 31.1255, 68.8745
46.9864, 46.3163, 53.6837
47.4916, 38.7908, 61.2092
47.9968, 36.6867, 63.3133
48.5021, 38.1727, 61.8273
49.0073, 31.8286, 68.1714
