nm, P, As
19.8608, 55.0464, 44.9536
19.9653, 56.2895, 43.7105
20.0698, 45.7222, 54.2778
20.1743, 50.1177, 49.8823
20.2789, 52.9813, 47.0187
20.3834, 49.3754, 50.6246
20.4879, 44.3255, 55.6745
20.5925, 50.174, 49.826
20.697, 47.3905, 52.6095
20.8015, 38.1976, 61.8024
20.9061, 60.6862, 39.3138
21.0106, 54.7995, 45.2005
21.1151, 43.389, 56.611
21.2196, 50.5632, 49.4368
21.3242, 56.5656, 43.4344
21.4287, 48.4904, 51.5096
21.5332, 42.6253, 57.3747
21.6378, 64.5439, 35.4561
21.7423, 63.312, 36.688
21.8468, 53.3398, 46.6602
21.9514, 58.4766, 41.5234
22.0559, 56.839, 43.161
22.1604, 49.8141, 50.1859
22.2649, 59.573, 40.427
22.3695, 60.8258, 39.1742
22.474, 64.3775, 35.6225
22.5785, 52.9952, 47.0048
22.6831, 64.3235, 35.6765
22.7876, 64.0518, 35.9482
22.8921, 71.9658, 28.0342
22.9967, 59.1557, 40.8443
23.1012, 52.3576, 47.6424
23.2057, 53.1053, 46.8947
23.3103, 54.8209, 45.1791
23.4148, 49.063, 50.937
23.5193, 75.5367, 24.4633
23.6238, 59.8605, 40.1395
23.7284, 63.2119, 36.7881
23.8329, 49.5087, 50.4913
23.9374, 42.9279, 57.0721
24.042, 54.3502, 45.6498
24.1465, 57.9547, 42.0453
24.251, 48.7496, 51.2504
24.3556, 43.9223, 56.0777
24.4601, 52.5012, 47.4988
24.5646, 59.9264, 40.0736
24.6691, 44.031, 55.969
24.7737, 61.092, 38.908
24.8782, 57.0135, 42.9865
24.9827, 59.5023, 40.4977
25.0873, 65.348, 34.652
25.1918, 49.8522, 50.1478
25.2963, 58.0209, 41.9791
25.4009, 62.848, 37.152
25.5054, 56.4854, 43.5146
25.6099, 57.7726, 42.2274
25.7144, 60.4677, 39.5323
25.819, 59.849, 40.151
25.9235, 55.4462, 44.5538
26.028, 53.3925, 46.6075
26.1326, 55.0355, 44.9645
