nm, Ga, In
19.0245, 24.8328, 75.1672
19.1236, 10.0074, 89.9926
19.2227, 15.3277, 84.6723
19.3218, 16.3205, 83.6795
19.4209, 10.9048, 89.0952
19.5199, 16.7534, 83.2466
19.619, 13.8081, 86.1919
19.7181, 19.7637, 80.2363
19.8172, 25.7611, 74.2389
19.9163, 17.7359, 82.2641
20.0154, 17.728, 82.272
20.1145, 12.7351, 87.2649
20.2135, 19.9915, 80.0085
20.3126, 15.9744, 84.0256
20.4117, 3.47651, 96.5235
20.5108, 14.4375, 85.5625
20.6099, 16.3778, 83.6222
20.709, 22.4304, 77.5696
20.8081, 11.6087, 88.3913

